Species;secreted;UpstreamBin;Count;Percentage
Hy. arabidopsidis;Non-Secreted;0-200;75;0.554610663
Hy. arabidopsidis;Non-Secreted;201-400;32;0.236633883
Hy. arabidopsidis;Non-Secreted;401-600;25;0.184870221
Hy. arabidopsidis;Non-Secreted;601-800;27;0.199659839
Hy. arabidopsidis;Non-Secreted;801-1000;13364;98.82422539
Hy. arabidopsidis;Secreted;0-200;3;0.424328147
Hy. arabidopsidis;Secreted;201-400;4;0.565770863
Hy. arabidopsidis;Secreted;401-600;3;0.424328147
Hy. arabidopsidis;Secreted;601-800;3;0.424328147
Hy. arabidopsidis;Secreted;801-1000;694;98.1612447
Ph. infestans;Non-Secreted;0-200;73;0.181330419
Ph. infestans;Non-Secreted;201-400;31;0.077003329
Ph. infestans;Non-Secreted;401-600;18;0.04471161
Ph. infestans;Non-Secreted;601-800;13;0.032291718
Ph. infestans;Non-Secreted;801-1000;40123;99.66466292
Ph. infestans;Secreted;0-200;1;0.025654182
Ph. infestans;Secreted;201-400;0;0
Ph. infestans;Secreted;401-600;4;0.102616727
Ph. infestans;Secreted;601-800;0;0
Ph. infestans;Secreted;801-1000;3893;99.87172909
Pl. halstedii;Non-Secreted;0-200;148;1.024008856
Pl. halstedii;Non-Secreted;201-400;30;0.207569363
Pl. halstedii;Non-Secreted;401-600;19;0.131460596
Pl. halstedii;Non-Secreted;601-800;10;0.069189788
Pl. halstedii;Non-Secreted;801-1000;14246;98.5677714
Pl. halstedii;Secreted;0-200;7;0.760869565
Pl. halstedii;Secreted;201-400;3;0.326086957
Pl. halstedii;Secreted;401-600;1;0.108695652
Pl. halstedii;Secreted;601-800;1;0.108695652
Pl. halstedii;Secreted;801-1000;908;98.69565217
Py. ultimum;Non-Secreted;0-200;71;0.502832861
Py. ultimum;Non-Secreted;201-400;22;0.155807365
Py. ultimum;Non-Secreted;401-600;15;0.106232295
Py. ultimum;Non-Secreted;601-800;13;0.092067989
Py. ultimum;Non-Secreted;801-1000;13999;99.14305949
Py. ultimum;Secreted;0-200;1;0.095057034
Py. ultimum;Secreted;201-400;1;0.095057034
Py. ultimum;Secreted;401-600;1;0.095057034
Py. ultimum;Secreted;601-800;0;0
Py. ultimum;Secreted;801-1000;1049;99.7148289
