GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains	EffectorCategory
HpaP800003	no	NA	NA	NA	NA	664	11	1.66	no	NA	Unknown
HpaP800003 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800005	no	NA	NA	NA	NA	133	3	2.26	no	NA	Unknown
HpaP800005 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800006	no	NA	NA	NA	NA	283	5	1.77	no	NA	Unknown
HpaP800006 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800007	no	NA	NA	NA	NA	262	7	2.67	no	NA	Unknown
HpaP800007 	yes	EAR_1,ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800008	no	NA	NA	NA	NA	71	2	2.82	no	NA	Unknown
HpaP800008 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800010	no	NA	NA	NA	NA	53	0	0	no	NA	Unknown
HpaP800010 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800011	no	NA	NA	NA	NA	94	1	1.06	no	NA	Unknown
HpaP800011 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800013	no	NA	NA	NA	NA	553	14	2.53	no	NA	Unknown
HpaP800013 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800014	no	NA	NA	NA	NA	416	1	0.24	no	NA	Unknown
HpaP800014 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800017	no	NA	NA	NA	NA	828	12	1.45	no	NA	Unknown
HpaP800017 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800020	no	NA	NA	NA	NA	144	1	0.69	no	NA	Unknown
HpaP800020 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800022	no	NA	NA	NA	NA	188	3	1.6	no	NA	Unknown
HpaP800022 	yes	YFWxC,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800025	no	NA	NA	NA	NA	681	6	0.88	no	NA	Unknown
HpaP800025 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800027	no	NA	NA	NA	NA	458	9	1.97	no	NA	Unknown
HpaP800027 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800028	no	NA	NA	NA	NA	664	13	1.96	no	NA	Unknown
HpaP800028 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800031	no	NA	NA	NA	NA	226	6	2.65	no	NA	Unknown
HpaP800031 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800032	no	NA	NA	NA	NA	931	8	0.86	no	NA	Unknown
HpaP800032 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800037	no	NA	NA	NA	NA	166	2	1.2	no	NA	Unknown
HpaP800037 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800044	no	NA	NA	NA	NA	619	6	0.97	no	NA	Unknown
HpaP800044 	yes	RXLR,YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800047	no	NA	NA	NA	NA	220	2	0.91	no	NA	Unknown
HpaP800047 	yes	RXLR,LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800057	no	NA	NA	NA	NA	301	10	3.32	yes	NA	Unknown
HpaP800057 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800058	no	NA	NA	NA	NA	62	1	1.61	no	NA	Unknown
HpaP800058 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800059	no	NA	NA	NA	NA	103	5	4.85	yes	NA	Unknown
HpaP800059 	yes	Crinkler	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800062	no	NA	NA	NA	NA	445	5	1.12	no	NA	Unknown
HpaP800062 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800065	no	NA	NA	NA	NA	835	8	0.96	no	NA	Unknown
HpaP800065 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800067	no	NA	NA	NA	NA	321	16	4.98	yes	NA	Unknown
HpaP800067 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800069	no	NA	NA	NA	NA	52	6	11.54	yes	NA	Unknown
HpaP800069 	yes	YFWxC,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800071	no	NA	NA	NA	NA	227	5	2.2	no	NA	Unknown
HpaP800071 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800075	no	NA	NA	NA	NA	433	9	2.08	no	NA	Unknown
HpaP800075 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800078	no	NA	NA	NA	NA	126	5	3.97	yes	NA	Unknown
HpaP800078 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800079	no	NA	NA	NA	NA	49	1	2.04	no	NA	Unknown
HpaP800079 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800082	no	NA	NA	NA	NA	134	5	3.73	yes	NA	Unknown
HpaP800082 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800091	no	NA	NA	NA	NA	80	3	3.75	yes	NA	Unknown
HpaP800091 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800093	no	NA	NA	NA	NA	145	2	1.38	no	NA	Unknown
HpaP800093 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800095	no	NA	NA	NA	NA	466	9	1.93	no	NA	Unknown
HpaP800095 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800096	no	NA	NA	NA	NA	98	2	2.04	no	NA	Unknown
HpaP800096 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800097	no	NA	NA	NA	NA	127	3	2.36	no	NA	Unknown
HpaP800097 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800098	no	NA	NA	NA	NA	809	7	0.87	no	NA	Unknown
HpaP800098 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800099	no	NA	NA	NA	NA	67	5	7.46	yes	NA	Unknown
HpaP800099 	yes	YFWxC,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800102	no	NA	NA	NA	NA	62	0	0	no	NA	Unknown
HpaP800102 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800105	no	NA	NA	NA	NA	91	3	3.3	yes	NA	Unknown
HpaP800105 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	TPR,HAT	Motif-only
HpaP800106	no	NA	NA	NA	NA	97	13	13.4	yes	NA	Unknown
HpaP800106 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800112	no	NA	NA	NA	NA	161	6	3.73	yes	NA	Unknown
HpaP800112 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800113	no	NA	NA	NA	NA	372	13	3.49	yes	NA	Unknown
HpaP800113 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800121	no	NA	NA	NA	NA	86	2	2.33	no	NA	Unknown
HpaP800121 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800123	no	NA	NA	NA	NA	150	8	5.33	yes	NA	Unknown
HpaP800123 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800125	no	NA	NA	NA	NA	1007	14	1.39	no	NA	Unknown
HpaP800125 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR	Domain-only
HpaP800126	no	NA	NA	NA	NA	132	1	0.76	no	NA	Unknown
HpaP800126 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800129	no	NA	NA	NA	NA	262	13	4.96	yes	NA	Unknown
HpaP800129 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800130	no	NA	NA	NA	NA	113	3	2.65	no	NA	Unknown
HpaP800130 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800132	no	NA	NA	NA	NA	70	2	2.86	no	NA	Unknown
HpaP800132 	yes	YFWxC,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800136	no	NA	NA	NA	NA	56	4	7.14	yes	NA	Unknown
HpaP800136 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	TPR	Motif-only
HpaP800137	no	NA	NA	NA	NA	899	14	1.56	no	NA	Unknown
HpaP800137 	yes	RXLR,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800139	no	NA	NA	NA	NA	333	2	0.6	no	NA	Unknown
HpaP800139 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800143	no	NA	NA	NA	NA	121	2	1.65	no	NA	Unknown
HpaP800143 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800147	no	NA	NA	NA	NA	85	3	3.53	yes	NA	Unknown
HpaP800147 	yes	EAR_1,ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800149	no	NA	NA	NA	NA	627	10	1.59	no	NA	Unknown
HpaP800149 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800150	no	NA	NA	NA	NA	304	4	1.32	no	NA	Unknown
HpaP800150 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800151	no	NA	NA	NA	NA	798	9	1.13	no	NA	Unknown
HpaP800151 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800152	no	NA	NA	NA	NA	546	8	1.47	no	NA	Unknown
HpaP800152 	yes	LysM,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800153	no	NA	NA	NA	NA	173	6	3.47	yes	NA	Unknown
HpaP800153 	yes	YFWxC,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800154	no	NA	NA	NA	NA	379	7	1.85	no	NA	Unknown
HpaP800154 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800155	no	NA	NA	NA	NA	345	6	1.74	no	NA	Unknown
HpaP800155 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800157	no	NA	NA	NA	NA	249	6	2.41	no	NA	Unknown
HpaP800157 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800165	no	NA	NA	NA	NA	54	1	1.85	no	NA	Unknown
HpaP800165 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800166	no	NA	NA	NA	NA	497	9	1.81	no	NA	Unknown
HpaP800166 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800167	no	NA	NA	NA	NA	146	1	0.68	no	NA	Unknown
HpaP800167 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800168	no	NA	NA	NA	NA	70	4	5.71	yes	NA	Unknown
HpaP800168 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800170	no	NA	NA	NA	NA	254	8	3.15	yes	NA	Unknown
HpaP800170 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800171	no	NA	NA	NA	NA	2273	39	1.72	no	NA	Unknown
HpaP800171 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800177	no	NA	NA	NA	NA	69	4	5.8	yes	NA	Unknown
HpaP800177 	yes	Crinkler,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800182	no	NA	NA	NA	NA	745	12	1.61	no	NA	Unknown
HpaP800182 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800184	no	NA	NA	NA	NA	195	6	3.08	yes	NA	Unknown
HpaP800184 	yes	RXLR,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800187	no	NA	NA	NA	NA	1222	32	2.62	no	NA	Unknown
HpaP800187 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800193	no	NA	NA	NA	NA	326	8	2.45	no	NA	Unknown
HpaP800193 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800196	no	NA	NA	NA	NA	89	3	3.37	yes	NA	Unknown
HpaP800196 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800197	no	NA	NA	NA	NA	2743	114	4.16	yes	NA	Unknown
HpaP800197 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800198	no	NA	PsPSR2,HaRxL22	21.88,25.37	3.46e-19,1.89e-07	NA	NA	NA	NA	NA	PHI-only
HpaP800200	no	NA	NA	NA	NA	111	4	3.6	yes	NA	Unknown
HpaP800200 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800201	no	NA	NA	NA	NA	164	10	6.1	yes	NA	Unknown
HpaP800201 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800203	no	NA	NA	NA	NA	50	0	0	no	NA	Unknown
HpaP800203 	yes	LysM,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800205	no	NA	NA	NA	NA	104	0	0	no	NA	Unknown
