GeneID	Hit	PercID	Evalue
PYU1_T014337	EPI1	28.91	5.81e-10
PYU1_T003554	P29138|PHI4615|Pr1,KEX1	32.37,24.84	2.01e-19,5.66e-09
PYU1_T006785	O42830|PHI660|Cbel(gp34)	52.44	3.39e-84
PYU1_T007632	P29138|PHI4615|Pr1,KEX1	30.69,24.66	5.04e-15,2.48e-09
PYU1_T004376	crn2	44.14	2.44e-21
PYU1_T001207	P0CY26|PHI68|Sap1,P0CY29|PHI6785PHI6791PHI6813|Sap3,Q00663|PHI17|Acp,P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2	31.66,29.2,30.83,32.23	6.47e-30,6.34e-29,5.04e-27,9.15e-27
PYU1_T001865	crn2,crn1	29.14,26.89	2.3e-24,4.12e-18
PYU1_T004928	Q945T9|PHI653|Gip2,GIP1	44.89,42.36	1.09e-61,8.58e-58
PYU1_T005237	Q01905|PHI111PHI760|Inf1	25.88	1.04e-07
PYU1_T011917	P29138|PHI4615|Pr1,KEX1	31.54,25.55	4.28e-15,5.42e-10
PYU1_T004718	Q945T9|PHI653|Gip2,GIP1	30.91,30.17	1.89e-26,7.14e-23
PYU1_T007635	P29138|PHI4615|Pr1,KEX1	32.75,24.73	1.26e-19,2.8e-10
PYU1_T008434	O42718|PHI762|Inf2a,O42719|PHI764|Inf2b	35.63	3.48e-11,1.11e-10
PYU1_T013864	HaRxL36	61.6	3.58e-53
PYU1_T001544	P29138|PHI4615|Pr1,KEX1	30.96,26.52	2.88e-18,5.64e-11
PYU1_T006325	P43070|PHI61|Bgl2	27.78	6.79e-28
PYU1_T013451	SSPbP94	25.13	2.59e-09
PYU1_T006317	SSPbP94	28.35	4.89e-14
PYU1_T011915	P29138|PHI4615|Pr1,KEX1	34.23,26.97	1.37e-19,3.47e-14
PYU1_T008712	SSPbP94	22.73	2.55e-14
PYU1_T001200	P0CY26|PHI68|Sap1,P0CY29|PHI6785PHI6791PHI6813|Sap3,Q00663|PHI17|Acp,P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2	30.53,29.88,30.7,32.11	7.2e-34,2.36e-33,2.56e-33,7.6e-31
PYU1_T011877	SSPbP94	28.37	1.01e-15
PYU1_T010811	SSPbP94	23.83	9.36e-10
PYU1_T014618	crn2	32.62	4.13e-12
PYU1_T003535	P29138|PHI4615|Pr1	26.89	2.83e-11
PYU1_T011255	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,MoSPD9,FocSix8	61.74,41.13,42.74,39.5,38.56	8.47e-105,2.06e-62,1.37e-61,5.18e-52,2.19e-47
PYU1_T007733	O42830|PHI660|Cbel(gp34)	49.59	5.61e-76
