GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains
PYU1_T012888 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T010293 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T012402 	yes	RXLR,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T006444 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T004617 	yes	Crinkler,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T000046 	yes	RXLR,YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T003686 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T006469 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR
PYU1_T003694 	yes	YFWxC,PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T009943 	yes	RXLR,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T004113 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T002207 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T007229 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T007906 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T008196 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T007084 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T013825 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T000858 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T009999 	yes	Crinkler,LysM	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T003223 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T003217 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T011033 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T008788 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T004029 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T007264 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T005371 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T010036 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T005227 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T007142 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T000271 	yes	YFWxC,LysM	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T004499 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T010617 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T000590 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T004326 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T000656 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T013227 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T013228 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T006426 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T006551 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T002644 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T008840 	yes	ToxA,PDI	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T014685 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T000677 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T002153 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T010580 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T011885 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
PYU1_T015127 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
