GeneID	Hit	PercID	Evalue
HpaP808197,HpaP808198	ATR39-1	37	2.86e-12
HpaP814672	SSPbP94	29.81	1.98e-31
HpaP808319	HaRxL44,HaRxLL108,HaRxL89	100,46.39,42.05	2.88e-82,2.12e-18,1.76e-12
HpaP813682	RXLR13	31.29	4.75e-08
HpaP811601	SSPbP94	28	3.86e-09
HpaP810262,HpaP810263	PsPSR2	34.38	2.22e-08
HpaP806270,HpaP806271	SSPbP94	26.9	5.01e-14
HpaP808580	PsAvh163	26.56	2.38e-09
HpaP809296,HpaP809297	PsPSR2,HaRxL24	29.36,27.73	1.46e-11,7.9e-09
HpaP805640	HaRxL73	100	0
HpaP813111	W2MG57|PHI7911|Ppxyn1,Q8NJ73|PHI2043|Xyl-6,O59937|PHI569|Xyl3,CfEcp5	50.96,28.91,28.57,24.64	2.61e-75,2.46e-21,2.2e-14,3.43e-11
HpaP810793	HaRxL22	37.5	8.29e-13
HpaP803082	SSPbP94	25.33	2.42e-12
HpaP814601	SSPbP94	29.81	1.22e-31
HpaP809344	P43070|PHI61|Bgl2	27.37	1.84e-27
HpaP807099	PsPSR2	22.9	2.88e-08
HpaP804983	Q6PQG3|PHI4252|Epi10	33.71	2.77e-21
HpaP805559	NEP1,L7NCR0|PHI8061|Pc129892,MoSPD9,Q0E7H7|PHI2342|Benep2,FocSix8	34.41,35.29,32.08,30.34,31.53	6.64e-45,2.73e-44,1.99e-37,1.05e-34,1.09e-29
HpaP804572	RXLR9	81.88	5.51e-87
HpaP807993	Q945T9|PHI653|Gip2,GIP1	35.59,32.14	6.93e-33,3.59e-32
HpaP811884	PsPSR2	28.08	3.66e-11
HpaP808325	HaRxL89,HaRxL44	100,46.67	7.16e-101,4.09e-16
HpaP811404	HaRxL2	32.41	1.83e-11
HpaP808599	PsXEG1	40.81	1.74e-59
HpaP806226	SSPbP94	23.53	3.14e-10
HpaP813858,HpaP813859	crn1,PsCRN108,crn2	55.56,45,48.15	2.9e-14,6.11e-11,1.11e-10
HpaP805662	P0CY29|PHI6785PHI6791PHI6813|Sap3,P0CY26|PHI68|Sap1,P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2	25.54,24.44,22.37	5.71e-12,6.6e-12,1.81e-09
HpaP806975	O42718|PHI762|Inf2a,O42719|PHI764|Inf2b,Q01905|PHI111PHI760|Inf1	29.03,31.03	3.19e-14,1e-13,8.54e-13
HpaP801867	ATR1	81.47	0
HpaP806107	Zt89160	27.84	4.91e-12
HpaP809079	RXLR16	80.21	3.93e-44
HpaP810460	RXLR6	97.67	5.68e-91
HpaP811679	RXLR3	89.15	6.65e-82
HpaP805562	NEP1,L7NCR0|PHI8061|Pc129892,Q0E7H7|PHI2342|Benep2,MoSPD9,FocSix8	35.57,31.14,31.29,29.01,28.99	1.12e-25,1.08e-24,1.51e-21,1.04e-17,2.37e-15
HpaP802301	HaRxL96	25.31	7.64e-09
HpaP805635	HaRxL68	98.28	4.45e-41
HpaP804296	P0CY26|PHI68|Sap1,P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2,P0CY29|PHI6785PHI6791PHI6813|Sap3,Q00663|PHI17|Acp	30.12,33.07,32.41,31.73	1.09e-12,4.79e-12,1.65e-10,4.13e-09
HpaP811732	SSPbP94	20.49	4.09e-08
HpaP807439	SSPbP94	25.99	4.66e-08
HpaP812277	ATR5	88.98	0
HpaP801066	PsPSR2	23.95	1.82e-07
HpaP807752	PsPSR2,PsAvh163,HaRxL24	28.24,24.13,22.84	3.45e-44,3.75e-13,1.78e-09
HpaP806741	GIP1,Q945T9|PHI653|Gip2	41.06,38.52	6.43e-53,2.04e-51
HpaP802237	HaRxL96	32.05	8.49e-40
HpaP806962	Q00298|PHI69|Cuta,Q99174|PHI2849|Cuta	30.37,30.3	1.35e-10,4.44e-07
HpaP807313	P0CY29|PHI6785PHI6791PHI6813|Sap3	23.73	4.14e-10
HpaP808349	HaRxL96	31.43	4.87e-12
HpaP814491	PsPSR2,HaRxL24	39.34,37.5	4.33e-09,6.77e-07
