GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains
CEG44242 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG44244 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
CEG35685 	yes	RXLR,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
CEG44245 	yes	RXLR,YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG44250 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG44253 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35687 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG44260 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35689 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35691 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
CEG35692 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35693 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35695 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT
CEG35696 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35697 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35702 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35705 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA
CEG35706 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35707 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
CEG35708 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35711 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35714 	yes	YFWxC,EAR_1,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35716 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35720 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35728 	yes	RXLR,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35733 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35734 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35741 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35742 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35746 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35747 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35748 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35749 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35750 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA
CEG35761 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT
CEG35763 	yes	YFWxC,G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA
CEG35764 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35770 	yes	EAR_1,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35771 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35776 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35779 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
CEG35780 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35781 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35785 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA
CEG35790 	yes	Crinkler	NA	NA	NA	NA	NA	NA	NA	NA
CEG35791 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35795 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35797 	yes	RXLR,Crinkler,YFWxC,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
CEG35798 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35799 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35800 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
CEG35801 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
CEG35803 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	TPR
CEG35805 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
CEG35806 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
CEG35807 	yes	RXLR,Crinkler	NA	NA	NA	NA	NA	NA	NA	NA
