GeneID	Hit	PercID	Evalue
PITG_15726	Avr3b	34.87	5.99e-16
PITG_23096	O42719|PHI764|Inf2b,O42718|PHI762|Inf2a,Q01905|PHI111PHI760|Inf1	36.99,38.6	3.6e-07,5.55e-07,7.86e-07
PITG_21778	Avr3a/5	32.43	2.29e-07
PITG_16705	PsPSR2,HaRxL24,PsAvh163,HaRxL22	29.26,25,24.19,24.49	4.27e-85,4.03e-25,8.69e-25,1.14e-13
PITG_23051	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,FocSix8,MoSPD9	40.49,33.05,31.76,32.42,27.61	7.13e-46,8.11e-31,4.19e-27,1.05e-23,2.03e-22
PITG_20997	crn1,crn2	69.68,27.82	2.91e-141,2.06e-14
PITG_19634	Q0ZJ79|PHI2343|Pcipg2,O00094|PHI114|Pg1,O94100|PHI103PHI1027|Bcpga1Bcpg1,P41749|PHI88|Peca,P78607|PHI247|Cppg1	72.3,38.67,42.99,38.73,40.57	5.8e-99,3.85e-37,1.5e-36,8.52e-35,4.59e-33
PITG_06375	PsPSR2,PsAvh163,HaRxL24,BSW14,HaRxL22	26.56,25.16,25.18,23.71,23.39	4.88e-41,2.4e-20,5.27e-20,4.14e-11,3.28e-10
PITG_10341	PsAvh163,HaRxL22,PsPSR2,HaRxL96,HaRxL24	42.34,29.83,26.12,28.65,25.84	1.5e-84,4.07e-36,2.83e-28,4.45e-27,2.51e-13
PITG_15307	Q945T9|PHI653|Gip2,GIP1	33.87,34.92	1.7e-16,2e-14
PITG_23024	PsPSR2,HaRxL24,PsAvh163,HaRxL96	29.1,29.56,23.15,22.59	1.58e-38,6.22e-24,1.24e-15,8.12e-09
PITG_02704	Q945T9|PHI653|Gip2,GIP1	31.47,30.92	2.02e-29,2.19e-28
PITG_09716	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,MoSPD9,Q0E7H7|PHI2342|Benep2	41.13,31.11,30.23,29.72,31.45	4.92e-55,1.3e-34,1.96e-31,1.53e-29,3.64e-26
PITG_23039	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,FocSix8	50.85,32.52,33.59,32.82	2.11e-28,2.65e-16,5.06e-13,1.26e-09
PITG_17189	crn2	91.72	1.04e-94
PITG_18821	crn1,crn2	84.84,28.96	0,7.91e-35
PITG_19653	Q0ZJ79|PHI2343|Pcipg2,P41749|PHI88|Peca,P78607|PHI247|Cppg1,P78608|PHI437|Cppg2,O00094|PHI114|Pg1	76.42,35.62,39.09,38.21,36.95	2.7e-115,3.02e-41,1.63e-40,2.68e-39,1.11e-37
