GeneID	Hit	PercID	Evalue
PHYSODRAFT_342831	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,Q0E7H7|PHI2342|Benep2,MoSPD9	47.14,36.51,37.07,34.19,33.58	5.15e-36,4.6e-22,6.19e-18,1.84e-16,5.92e-16
PHYSODRAFT_500159	Zt89160	25.57	3.06e-07
PHYSODRAFT_414686	Q6PQG3|PHI4252|Epi10	64.86	3.47e-10
PHYSODRAFT_468315	L7NCR0|PHI8061|Pc129892,NEP1,MoSPD9,Q0E7H7|PHI2342|Benep2,FocSix8	54.42,37.28,41.78,37.85,33.93	5.36e-83,1.15e-48,5.44e-46,1.93e-44,7.39e-36
PHYSODRAFT_440456	PsCRN108	53.78	1.73e-36
PHYSODRAFT_339614	PsPSR2,PsAvh163	27.27	9.14e-18,9.07e-10
PHYSODRAFT_474645	P0CY29|PHI6785PHI6791PHI6813|Sap3,Q00663|PHI17|Acp,P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2	21.82,24.46,21.35	2.1e-11,5.2e-09,4.43e-08
PHYSODRAFT_245887	L7NCR0|PHI8061|Pc129892,NEP1	29.32,26	1.86e-17,7.78e-10
PHYSODRAFT_513471	EPIC1	51.9	1.51e-27
PHYSODRAFT_286168	Avh5	45.26	2.19e-33
PHYSODRAFT_318781	PsPSR2	30.61	4.12e-08
PHYSODRAFT_321781	N4TQ97,X0K3U9	38.55,38.97	1.1e-72,7.63e-72
PHYSODRAFT_288766	PsPSR2	29.51	2.21e-11
PHYSODRAFT_527497	W2MG57|PHI7911|Ppxyn1,Q8NJ73|PHI2043|Xyl-6,O59937|PHI569|Xyl3,CfEcp5	77.98,34.38,35,24.62	0,1.13e-53,1.82e-53,2.21e-22
PHYSODRAFT_460130	PsPSR2,HaRxL24,PsAvh163,BLR36	33.69,27.91,28.11,26.14	1.04e-26,1.79e-14,7.58e-13,1.1e-09
