GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains	EffectorCategory
PITG_00002	no	NA	NA	NA	NA	109	2	1.83	no	NA	Unknown
PITG_00002 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00009	no	NA	NA	NA	NA	418	9	2.15	no	NA	Unknown
PITG_00009 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00012	no	NA	NA	NA	NA	185	5	2.7	no	NA	Unknown
PITG_00012 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00015	no	NA	NA	NA	NA	225	0	0	no	NA	Unknown
PITG_00015 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00020	no	NA	NA	NA	NA	927	14	1.51	no	NA	Unknown
PITG_00020 	yes	LysM,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00021	no	NA	NA	NA	NA	540	8	1.48	no	NA	Unknown
PITG_00021 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00023	no	NA	SSPbP94	29.2	3.17e-15	NA	NA	NA	NA	NA	PHI-only
PITG_00029	no	NA	NA	NA	NA	416	6	1.44	no	NA	Unknown
PITG_00029 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00031	no	NA	NA	NA	NA	289	6	2.08	no	NA	Unknown
PITG_00031 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00036	no	NA	NA	NA	NA	671	7	1.04	no	NA	Unknown
PITG_00036 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00037	no	NA	NA	NA	NA	386	2	0.52	no	NA	Unknown
PITG_00037 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00042	no	NA	NA	NA	NA	81	2	2.47	no	NA	Unknown
PITG_00042 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00045	no	NA	NA	NA	NA	1378	26	1.89	no	NA	Unknown
