GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains	EffectorCategory
PHYSODRAFT_245760	no	NA	NA	NA	NA	241	1	0.41	no	NA	Unknown
PHYSODRAFT_245760 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245777	no	NA	NA	NA	NA	708	13	1.84	no	NA	Unknown
PHYSODRAFT_245777 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245789	no	NA	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,Q0E7H7|PHI2342|Benep2,MoSPD9	40,36.11,41,35.71,28.22	1.02e-27,3.56e-21,7.21e-16,2.47e-10,2.72e-09	NA	NA	NA	NA	NA	PHI-only
PHYSODRAFT_245791	no	NA	NA	NA	NA	447	2	0.45	no	NA	Unknown
PHYSODRAFT_245791 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245817	no	NA	NA	NA	NA	731	11	1.5	no	NA	Unknown
PHYSODRAFT_245817 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245857	no	NA	P43070|PHI61|Bgl2	27.9	2.6e-25	NA	NA	NA	NA	NA	PHI-only
PHYSODRAFT_245860	no	NA	NA	NA	NA	477	12	2.52	no	NA	Unknown
PHYSODRAFT_245860 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245876	no	NA	NA	NA	NA	399	2	0.5	no	NA	Unknown
PHYSODRAFT_245876 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245887	no	NA	L7NCR0|PHI8061|Pc129892,NEP1	29.32,26	1.86e-17,7.78e-10	NA	NA	NA	NA	NA	PHI-only
PHYSODRAFT_245916	no	NA	NA	NA	NA	459	16	3.49	yes	NA	Unknown
PHYSODRAFT_245916 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_245934	no	NA	NA	NA	NA	257	3	1.17	no	NA	Unknown
PHYSODRAFT_245934 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR	Domain-only
PHYSODRAFT_245995	no	NA	NA	NA	NA	353	3	0.85	no	NA	Unknown
PHYSODRAFT_245995 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_246104	no	NA	NA	NA	NA	1001	3	0.3	no	NA	Unknown
PHYSODRAFT_246104 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_246110	no	NA	NA	NA	NA	605	14	2.31	no	NA	Unknown
PHYSODRAFT_246110 	yes	RXLR,ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_246126	no	NA	NA	NA	NA	177	4	2.26	no	NA	Unknown
PHYSODRAFT_246126 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PHYSODRAFT_246139	no	NA	NA	NA	NA	56	1	1.79	no	NA	Unknown
