GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains
HpaP801464 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804939 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP810387 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP808809 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP811000 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP809762 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804573 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802787 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP812154 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT
HpaP800570 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP812205 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813654 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802292 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP814349 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804624 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803350 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801127 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP811292 	yes	YFWxC,CHxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813475 	yes	YFWxC,LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP806524 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP810232 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800853 	yes	RXLR,ToxA	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805122 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804797 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP808658 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801784 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP814618 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813297 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800200 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP814681 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP814156 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	TPR
HpaP811970 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803073 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801341 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805391 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805886 	yes	EAR_1,PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP807952 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP807679 	yes	YFWxC,PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP806559 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT
HpaP801890 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805979 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP809803 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP806187 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801635 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP812783 	yes	RXLR,PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800079 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP808161 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805592 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800653 	yes	RXLR,YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802690 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR
HpaP811243 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT
HpaP812291 	yes	RXLR,[LI]xAR,PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802528 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP811979 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801569 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP811001 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP809711 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813986 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP812761 	yes	Crinkler,LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP808557 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP812133 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA
HpaP811785 	yes	Crinkler	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804787 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801820 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP810118 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805085 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813725 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805696 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802486 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802496 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805723 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800355 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802783 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP810086 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP814747 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804849 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802732 	yes	RXLR,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813218 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802126 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP808569 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP810797 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800918 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP804857 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT
HpaP804221 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803874 	yes	Crinkler,LysM,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP807357 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA
HpaP805900 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800177 	yes	Crinkler,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800938 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP809191 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803396 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800154 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803621 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP811194 	yes	YFWxC,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801690 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803443 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA
HpaP801507 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803749 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR
HpaP800167 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800949 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA
HpaP809728 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR
HpaP803947 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP813787 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800252 	yes	YFWxC,LysM	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800656 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA
HpaP800513 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA
HpaP808350 	yes	YFWxC,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
HpaP803930 	yes	RXLR,[LI]xAR,ToxA	NA	NA	NA	NA	NA	NA	NA	NA
HpaP802927 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA
